Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
168	0	-437.699	-419.991	-17.7081	129335.4	7.589329	0.996468	0.999095	1.0009	1.00354	4.122376
169	1	-435.317	-422.355	-12.9613	894630.9	7.599386	0.998656	0.999656	1.00034	1.00134	3.497777
170	0	-441.307	-424.337	-16.9697	845636.7	8.453633	0.998618	0.999647	1.00035	1.00138	4.014126
171	1	-443.274	-426.694	-16.58	697893.6	5.826646	0.998479	0.999611	1.00039	1.00152	3.739463
172	0	-436.567	-421.386	-15.1814	431202	11.26856	0.998065	0.999505	1.00049	1.00194	3.644436
173	1	-440.678	-426.428	-14.2496	983177.1	7.331208	0.998718	0.999672	1.00033	1.00128	3.647057
174	0	-435.871	-422.632	-13.2385	536775.4	11.24157	0.998266	0.999556	1.00044	1.00174	3.473797
175	1	-427.286	-414.421	-12.8651	729815.2	7.790173	0.998512	0.99962	1.00038	1.00149	3.499901
176	0	-449.204	-431.814	-17.3904	725775.5	5.773436	0.998508	0.999619	1.00038	1.00149	3.863693
177	1	-431.147	-417.773	-13.3737	944612	7.75877	0.998692	0.999666	1.00033	1.00131	3.563246
178	0	-433.033	-418.874	-14.1589	451407.1	9.236324	0.998109	0.999516	1.00048	1.00189	3.66907
179	1	-442.206	-427.386	-14.8198	947505.4	8.165176	0.998694	0.999666	1.00033	1.00131	3.75938
180	0	-430.61	-420.324	-10.2858	464906	8.811321	0.998136	0.999523	1.00048	1.00186	3.239707
181	1	-430.977	-417.03	-13.947	810383.7	8.024045	0.998588	0.999639	1.00036	1.00141	3.648545
182	0	-430.05	-418.11	-11.94	838696.6	11.27732	0.998612	0.999645	1.00035	1.00139	3.356298
183	1	-440.341	-425.042	-15.2989	740078.1	8.691224	0.998523	0.999622	1.00038	1.00148	3.811923
184	0	-438.074	-415.194	-22.88	406325.6	5.853603	0.998007	0.99949	1.00051	1.00199	4.823606
185	1	-437.979	-425.631	-12.3478	126942.4	7.52571	0.996435	0.999087	1.00091	1.00357	3.409738
186	0	-431.877	-420.119	-11.758	823142.5	10.69374	0.998599	0.999642	1.00036	1.0014	3.369379
187	1	-440.87	-427.802	-13.0685	215036.2	7.846449	0.99726	0.999299	1.0007	1.00274	3.529567
188	0	-428.865	-415.542	-13.3238	241187.9	7.516095	0.997413	0.999338	1.00066	1.00259	3.538597
189	1	-434.779	-422.028	-12.7513	424586.3	7.680787	0.99805	0.999501	1.0005	1.00195	3.477016
190	0	-424.379	-415.475	-8.90353	855918.3	8.629598	0.998626	0.999649	1.00035	1.00137	3.072268
191	1	-431.266	-421.921	-9.34514	183035.1	11.24253	0.99703	0.99924	1.00076	1.00297	3.127424
192	0	-430.065	-417.327	-12.7376	958636.6	9.381669	0.998702	0.999668	1.00033	1.0013	3.512545
193	1	-431.232	-415.311	-15.9213	419323.5	11.68627	0.998038	0.999498	1.0005	1.00196	3.673117
194	0	-434.712	-416.26	-18.4519	271068.9	8.250947	0.99756	0.999375	1.00062	1.00244	4.200225
195	1	-435.725	-421.02	-14.7046	220430.9	10.93931	0.997294	0.999307	1.00069	1.00271	3.627104
196	0	-431.181	-420.489	-10.6916	833358.8	9.089226	0.998608	0.999644	1.00036	1.00139	3.291922
197	1	-439.341	-418.361	-20.9805	774124.6	7.066118	0.998556	0.999631	1.00037	1.00145	4.57193
198	0	-428.122	-410.806	-17.3165	890557.3	5.456171	0.998653	0.999656	1.00034	1.00135	3.744603
199	1	-437.014	-422.956	-14.058	281265.3	7.955739	0.997604	0.999387	1.00061	1.0024	3.660082
200	0	-427.234	-420.076	-7.15858	292071.5	13.28918	0.997649	0.999398	1.0006	1.00235	2.865744
201	1	-434.765	-425.533	-9.23235	157943.1	13.15548	0.996803	0.999181	1.00082	1.0032	3.029172
202	0	-435.486	-421.817	-13.6692	421859.6	12.97056	0.998044	0.999499	1.0005	1.00196	3.381267
203	1	-434.775	-421.375	-13.4005	69600.38	9.444056	0.995186	0.998765	1.00123	1.00482	3.581373
204	0	-432.829	-419.464	-13.3649	262494.7	8.878746	0.99752	0.999365	1.00063	1.00248	3.588713
205	1	-430.425	-415.316	-15.1096	44183.47	8.752674	0.993959	0.998449	1.00154	1.00605	3.788691
206	0	-435.573	-419.531	-16.0421	32696.43	7.374861	0.992979	0.998196	1.00179	1.00704	3.893903
207	1	-431.235	-420.746	-10.4892	562475.6	11.01205	0.998306	0.999567	1.00043	1.0017	3.238882
208	0	-428.36	-416.231	-12.1284	685411.9	11.44214	0.998465	0.999607	1.00039	1.00154	3.363376
209	1	-431.1	-419.644	-11.4556	996915.5	8.338924	0.998727	0.999675	1.00032	1.00127	3.356775
210	0	-432.297	-418.668	-13.629	626224.1	12.13429	0.998394	0.999589	1.00041	1.00161	3.44351
211	1	-429.921	-414.264	-15.6569	826286.6	11.83741	0.998602	0.999642	1.00036	1.0014	3.63715
212	0	-441.395	-428.822	-12.573	707301.6	7.010331	0.998489	0.999614	1.00039	1.00151	3.373291
213	1	-426.989	-413.106	-13.8827	85062.42	9.199917	0.995645	0.998883	1.00111	1.00436	3.640193
214	0	-433.43	-418.305	-15.1249	782799	8.258183	0.998564	0.999633	1.00037	1.00144	3.796997
215	1	-431.112	-421.994	-9.11783	403442.9	8.67757	0.998	0.999488	1.00051	1.002	3.099955
216	0	-433.221	-418.762	-14.4593	638185.2	15.02112	0.998409	0.999593	1.00041	1.00159	3.267433
217	1	-422.841	-411.14	-11.7017	347119.8	8.943517	0.997843	0.999448	1.00055	1.00216	3.402124
218	0	-426.43	-411.212	-15.218	955780.1	6.764782	0.9987	0.999668	1.00033	1.0013	3.720071
219	1	-428.14	-417.869	-10.2708	181714.1	10.65594	0.99702	0.999237	1.00076	1.00298	3.231506
220	0	-426.923	-416.132	-10.7907	989127.8	10.37103	0.998722	0.999673	1.00033	1.00128	3.289678
221	1	-430.102	-419.825	-10.2773	385329.5	11.14254	0.997953	0.999476	1.00052	1.00205	3.214484
222	0	-440.652	-425.198	-15.4534	149840.9	7.327158	0.996718	0.999159	1.00084	1.00329	3.810979
223	1	-434.613	-422.111	-12.5013	48104.03	9.420231	0.99421	0.998514	1.00147	1.0058	3.486641
224	0	-434.765	-422.041	-12.7236	841717.6	7.881812	0.998615	0.999646	1.00035	1.00139	3.487894
225	1	-447.52	-430.27	-17.2502	365209.2	8.070837	0.997897	0.999462	1.00054	1.0021	4.05929
226	0	-440.87	-424.172	-16.6973	225197.8	6.677668	0.997323	0.999315	1.00068	1.00268	3.928682
227	1	-431.655	-414.884	-16.7714	444631.8	5.77457	0.998094	0.999512	1.00049	1.00191	3.756827
228	0	-430.252	-418.284	-11.968	176234.6	8.006252	0.996974	0.999225	1.00077	1.00303	3.400763
229	1	-448.955	-431.021	-17.9337	517421.9	8.742684	0.998233	0.999548	1.00045	1.00177	4.111967
230	0	-425.408	-417.573	-7.83488	573602.7	11.50181	0.998322	0.999571	1.00043	1.00168	2.986526
231	1	-438.564	-419.524	-19.0406	79141.12	8.816242	0.995485	0.998842	1.00115	1.00452	4.232901
232	0	-425.283	-416.41	-8.87259	680515.1	12.05884	0.99846	0.999606	1.00039	1.00154	3.054809
