Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1320	-434.919	-420.499	-14.4202	215390.8	8.715268	0.997262	0.999299	1.0007	1.00274	3.71049
1330	-431.149	-418.047	-13.1023	286212.5	7.395373	0.997625	0.999392	1.00061	1.00238	3.497414
1340	-427.859	-416.775	-11.084	345417.5	13.12279	0.997838	0.999447	1.00055	1.00216	3.172065
1350	-427.265	-416.74	-10.5251	347828.9	8.553852	0.997846	0.999449	1.00055	1.00216	3.256799
1360	-430.279	-419.759	-10.5199	28053.07	10.32141	0.992421	0.998051	1.00193	1.0076	3.264884
1370	-427.439	-418.123	-9.31595	906869.7	10.96771	0.998666	0.999659	1.00034	1.00134	3.133675
1380	-433.447	-422.718	-10.7283	19509.26	8.639394	0.990914	0.997661	1.00231	1.00912	3.284111
1390	-424.478	-410.857	-13.621	862854.4	8.06721	0.998632	0.99965	1.00035	1.00137	3.60949
1400	-433.828	-425.762	-8.06605	976728.4	12.11767	0.998714	0.999671	1.00033	1.00129	2.985701
1410	-443.925	-427.525	-16.4004	487118	8.227134	0.998179	0.999534	1.00046	1.00182	3.952015
1420	-432.153	-413.56	-18.5929	899080	8.541742	0.99866	0.999657	1.00034	1.00134	4.200742
1430	-434.435	-418.836	-15.5991	267516.4	7.948069	0.997543	0.999371	1.00063	1.00246	3.853698
1440	-433.933	-422.356	-11.5773	494004.1	10.27976	0.998192	0.999537	1.00046	1.00181	3.368803
1450	-433.74	-421.708	-12.032	332564.8	8.797911	0.997797	0.999436	1.00056	1.00221	3.437708
1460	-435.738	-420.774	-14.9641	152827.2	9.871694	0.99675	0.999168	1.00083	1.00325	3.724006
1470	-426.524	-415.339	-11.1857	231220.1	10.3407	0.997358	0.999324	1.00067	1.00264	3.328765
1480	-424.653	-414.822	-9.8318	288651	12.04176	0.997635	0.999395	1.0006	1.00237	3.135198
1490	-434.635	-420.07	-14.5652	800290.1	8.807705	0.998579	0.999637	1.00036	1.00142	3.725442
1500	-433.113	-421.666	-11.4474	340803.2	8.392276	0.997823	0.999443	1.00056	1.00218	3.358266
1510	-448.744	-429.299	-19.4449	719742.5	6.795281	0.998502	0.999617	1.00038	1.0015	4.346355
1520	-438.37	-426.545	-11.8248	546375.7	8.835548	0.998281	0.99956	1.00044	1.00172	3.414705
1530	-434.251	-418.828	-15.4229	671242	7.107162	0.998449	0.999603	1.0004	1.00155	3.789303
1540	-435.813	-416.496	-19.3168	622895.8	9.998821	0.99839	0.999588	1.00041	1.00161	4.151665
1550	-435.475	-423.119	-12.3564	884304.3	7.232055	0.998649	0.999654	1.00034	1.00135	3.37588
1560	-433.103	-416.787	-16.316	713875.4	9.444924	0.998496	0.999615	1.00038	1.0015	3.890028
1570	-431.31	-414.855	-16.4545	415707.2	8.737006	0.998029	0.999496	1.0005	1.00197	3.943014
1580	-430.803	-416.182	-14.6204	230411.2	8.409708	0.997353	0.999322	1.00068	1.00265	3.736336
1590	-423.14	-411.908	-11.2321	419006.7	7.663091	0.998037	0.999498	1.0005	1.00196	3.277331
1600	-433.374	-416.374	-17.0002	381265.8	9.606658	0.997942	0.999473	1.00053	1.00206	3.950723
1610	-426.579	-413.019	-13.5609	46768.14	10.54381	0.994128	0.998493	1.0015	1.00588	3.54694
1620	-430.604	-417.707	-12.8967	358643.6	10.1091	0.997878	0.999457	1.00054	1.00212	3.504913
1630	-429.781	-418.942	-10.8382	843986.6	9.843177	0.998617	0.999646	1.00035	1.00138	3.306506
